"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1. Floresta","48690.92718241393","48707.9714325483","50235.22533045244","50424.81233572007","50911.84412118872","51043.50702682847","51335.530501542235","51406.620904118485","50255.62988508586","49498.0254759305","48649.281314383195","48220.97212134198","48131.12192426547","47762.57896310887","47983.51043413565","48317.001779404934","48164.958426066005","48151.953338302956","47742.01275807888","46847.471997099856","47132.54859454356","46848.236100242786","46511.21920510113","45754.56540532129","45272.098863126834","44862.37047071146","43737.91989136545","42293.61640656524","41459.81791658155","40840.597958885744","40093.523501145035","39764.818348380024","39853.732323044474","40013.749004252044","40055.356851767916","39988.99406588533","40056.49792658474"
"1.1. Formação Florestal","134.73199840698214","134.73199840698214","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.56229658203097","130.56229658203097","130.38485263061497","130.38485263061497","130.38485263061497","130.2961489990232","130.207445422363","130.207445422363","130.207445422363","130.207445422363","130.207445422363","130.2961489990232","130.2961489990232","130.2961489990232","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.38485263061497","130.47356382446262","130.47356382446262","130.38485263061497"
"1.2. Formação Savânica","48556.195184006945","48573.23943414132","50104.840477821825","50294.42748308945","50781.4592685581","50913.12217419785","51205.14564891162","51276.23605148787","50125.24503245524","49367.640623299885","48518.89646175258","48090.587268711366","48000.73707163485","47632.01666652684","47852.94813755362","48186.61692677432","48034.57357343539","48021.56848567234","47611.71660907986","46717.264551677494","47002.341149121195","46718.028654820424","46381.01175967877","45624.35795989893","45141.80271412781","44732.07432171243","43607.62374236642","42163.231553934624","41329.433063950935","40710.21310625513","39963.13864851442","39634.43349574941","39723.34747041386","39883.36415162143","39924.883287943456","39858.52050206087","39926.113073954126"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Restinga Arborizada (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","362.66393685913073","360.5348014221191","268.79981222534167","274.47797411499016","263.92119713134764","258.8644282470702","247.50835162353502","242.2737606750487","243.78164927978503","241.91858739013662","244.75729796752915","254.95950123290996","255.5805767211913","271.54969142456025","280.68755201415996","280.68757205810516","296.5673906127928","290.357645196533","297.0103584228514","298.0746256103515","301.00195846557625","302.4207203491212","306.76770460205086","297.00979084472647","293.9057999999999","292.66431020507804","315.46500908203126","362.7481109802244","494.84618971557734","675.7267884216329","826.08956152344","799.9167932922375","786.3399257690432","595.875484417727","586.6496934021015","581.6820837341324","586.5610895446796"
"2.1. Campo Alagado e Área Pantanosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2. Formação Campestre","362.66393685913073","360.5348014221191","268.79981222534167","274.47797411499016","263.92119713134764","258.8644282470702","247.50835162353502","242.2737606750487","243.78164927978503","241.91858739013662","244.75729796752915","254.95950123290996","255.5805767211913","271.54969142456025","280.68755201415996","280.68757205810516","296.5673906127928","290.357645196533","297.0103584228514","298.0746256103515","301.00195846557625","302.4207203491212","306.76770460205086","297.00979084472647","293.9057999999999","292.66431020507804","315.46500908203126","362.7481109802244","494.84618971557734","675.7267884216329","826.08956152344","799.9167932922375","786.3399257690432","595.875484417727","586.6496934021015","581.6820837341324","586.5610895446796"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea/Arbustiva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","5431.403753655995","5487.203948583952","4237.285593853758","4170.046502313225","3813.698381597882","3848.300833428935","4032.104716534437","4148.129165582277","5500.43746652824","6150.8697167540895","6679.586174334709","7123.332650732359","7210.521789752134","8112.383567034802","8044.779150323373","7744.287032965015","7876.903145770191","7355.526570580982","7846.738731597836","7521.152174499452","7555.304413171294","7837.576963531432","8170.245101159602","8708.192040588348","9415.659457220368","10100.870008032156","11476.228379901178","13255.821356414639","14986.130504461576","15649.218578814496","16468.370184924188","16859.184235625897","16772.670982006675","16682.294197924664","16664.284842260582","15928.985258776713","15989.954788128722"
"3.1. Pastagem","1742.2316151916764","1549.0131849975785","1633.5493580810703","1780.81899325563","1434.4166318664677","1483.1310116516217","1888.8155751709335","2561.6873714843573","3374.969718109065","3924.8811441588887","3949.6177018432404","4014.384172631796","3773.376484216279","4673.189812750173","5280.350839300453","5537.779606518474","4950.962005071942","4143.839848315379","3870.584861120551","3696.3308742065374","3463.8262287841267","3578.2351936339905","3980.4380429015773","4223.94913177488","4346.280990417434","5825.972860003602","8041.585089025928","10449.439166815062","12154.223443359306","13479.649499175825","13527.356368078523","13472.035408184556","13024.982948467914","12325.770194177156","11946.825504699613","11497.935583483795","9713.517832373223"
"3.2. Agricultura","","","","","","","","","","","","","","","","","","","","","","","0.6209761596679688","0.6209761596679688","","0.6208640075683592","2.7496552429199217","2.128791235351563","1.330617578125","1.330617578125","5.588474377441405","10.556235937500002","17.12109475097656","16.05714571533203","13.12974586791992","12.774829962158202","12.774829962158202"
"3.2.1. Lavoura Temporária","","","","","","","","","","","","","","","","","","","","","","","0.6209761596679688","0.6209761596679688","","0.6208640075683592","2.7496552429199217","2.128791235351563","1.330617578125","1.330617578125","5.588474377441405","10.556235937500002","17.12109475097656","16.05714571533203","13.12974586791992","12.774829962158202","12.774829962158202"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.5. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","","","","","","","0.6209761596679688","0.6209761596679688","","0.6208640075683592","2.7496552429199217","2.128791235351563","1.330617578125","1.330617578125","5.588474377441405","10.556235937500002","17.12109475097656","16.05714571533203","13.12974586791992","12.774829962158202","12.774829962158202"
"3.2.2. Lavoura Perene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.1. Café (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.2. Citrus (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.3. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.3. Silvicultura (monocultura)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.4. Mosaico de Usos","3689.1721384643192","3938.190763586374","2603.736235772687","2389.2275090575945","2379.2817497314145","2365.1698217773132","2143.2891413635034","1586.44179409792","2125.467748419175","2225.988572595201","2729.9684724914687","3108.948478100563","3437.1453055358556","3439.1937542846285","2764.4283110229203","2206.507426446541","2925.9411406982495","3211.686722265603","3976.153870477285","3824.8213002929147","4091.478184387168","4259.341769897442","4189.186082098357","4483.6219326538","5069.378466802935","4274.276284020985","3431.8936356323306","2804.253398364227","2830.5764435241445","2168.238462060547","2935.4253424682242","3376.592591503839","3730.566938787788","4340.466858032179","4704.329591693049","4418.2748453307595","6263.66212579334"
"4. Área não Vegetada","178.3915659912112","169.5205477905276","161.8923512817385","167.03812667846705","157.10367376709007","144.77397990112328","133.33160684814473","136.61404050903346","154.08955144653333","164.91149895019538","174.13711018066408","168.19381477050786","164.82312738037115","163.9365923828125","182.29920902099613","183.80769906616217","184.16249167480476","189.5730687316895","199.59701303100604","207.84613867797862","218.04757368774432","217.6040566711427","199.7745256896975","201.01647138671896","216.1862193359376","218.84770593872088","218.84820650024423","219.47013869628927","220.00433171997122","227.9006511169438","234.28866788330123","237.65984878540078","244.93422575683587","282.10430428466793","281.21691953125","281.48293044433603","295.49928292846687"
"4.1. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.2. Área Urbanizada","77.62246402587917","77.44504240722682","81.79187199707052","85.51773445434596","85.25159866333031","85.42902012329127","85.42901843261743","86.22741732788111","92.34850706176769","93.85659463500983","96.16309384765628","96.0743824523926","97.5824811645508","100.59866381225586","102.72774584350589","104.14712767333987","105.74393607788086","108.05041386718753","110.35691768798839","111.68758565063487","112.8408400634767","113.46181904907237","114.9698982482912","116.2118569091799","123.04261005249033","125.52653471069351","128.09915355834974","130.49435515747092","133.86535876464887","134.30890750122117","136.88152230835","137.67992341308627","147.34944699096673","173.16462947998053","173.3420525878907","175.20499769287122","186.82630027465837"
"4.3. Mineração","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.4. Outras Áreas não Vegetadas","100.76910196533203","92.07550538330077","80.100479284668","81.5203922241211","71.85207510375977","59.34495977783202","47.90258841552731","50.386623181152345","61.741044384765644","71.05490431518557","77.97401633300781","72.11943231811524","67.24064621582033","63.337928570556635","79.57146317749024","79.6605713928223","78.41855559692388","81.52265486450196","89.24009534301764","96.15855302734374","105.2067336242676","104.14223762207033","84.8046274414063","84.80461447753906","93.14360928344728","93.32117122802737","90.74905294189449","88.97578353881835","86.13897295532233","93.59174361572263","97.40714557495123","99.97992537231451","97.58477876586913","108.9396748046874","107.87486694335931","106.27793275146482","108.67298265380848"
"5. Corpo D`água","3036.517445208733","2974.673153784165","2796.700796313514","2663.528945300299","2553.3365104431514","2404.4576157226666","1951.4287075805528","1766.2660132446267","1545.965331787076","1644.1786051025094","1952.1419872619908","1932.4457960510272","1937.8564660095315","1389.455070178198","1208.6275386352272","1174.119800634737","1177.312430004853","1712.4932613159192","1614.5450229980113","2825.358948242151","2493.0013442626732","2494.0660433349444","2511.897347576895","2739.120175988808","2502.05354444579","2225.1513892395096","1951.442397277873","1568.2478714721185","539.1049416503898","306.4599068908668","77.63196865234383","38.32465804443356","42.22642755126952","125.88089324951169","112.39557716674788","918.7595452880815","771.3907969421405"
"5.1. Rio, Lago e Oceano","3036.517445208733","2974.673153784165","2796.700796313514","2663.528945300299","2553.3365104431514","2404.4576157226666","1951.4287075805528","1766.2660132446267","1545.965331787076","1644.1786051025094","1952.1419872619908","1932.4457960510272","1937.8564660095315","1389.455070178198","1208.6275386352272","1174.119800634737","1177.312430004853","1712.4932613159192","1614.5450229980113","2825.358948242151","2493.0013442626732","2494.0660433349444","2511.897347576895","2739.120175988808","2502.05354444579","2225.1513892395096","1951.442397277873","1568.2478714721185","539.1049416503898","306.4599068908668","77.63196865234383","38.32465804443356","42.22642755126952","125.88089324951169","112.39557716674788","918.7595452880815","771.3907969421405"
"5.2. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""